greedy,0,1.0,0.25,0,0.49013909791546606
greedy,0,1.0,0.125,0,0.4952481724341553
greedy,0,1.0,0.0625,0,0.49470027353215235
greedy,0,1.0,0.03125,0,0.4949823929791642
greedy,0,1.0,0.015625,0,0.4832530286280354
greedy,0.15,1.0,0.25,0,0.48387366427254186
greedy,0.15,1.0,0.125,0,0.4909371385228338
greedy,0.15,1.0,0.0625,0,0.49323797904892447
greedy,0.15,1.0,0.03125,0,0.49587632273929877
greedy,0.15,1.0,0.015625,0,0.49593115655594017
greedy,0.15,1.0,0.0625,1.0,1.4586311972969734
greedy,0.15,1.0,0.03125,1.0,1.490420028255835
greedy,0.15,1.0,0.015625,1.0,1.5045500670594925
greedy,0.15,1.0,0.0078125,1.0,1.5114941500085874
